parcel_id,address,lat,lng,geocoder
014-9119-9,1823 RIDGELAND DR,30.37360989999999,-91.0906265,google
000-9161-8,10641 MCGUIRE AVE,30.37508159999999,-91.0933864,google
014-8926-7,1729 GREAT OAK DR,30.3732975,-91.0920743,google
002-2637-8,1687 PATRICK DR,30.3732449,-91.09385089999999,google
000-9769-1,1683 O'BRIEN DR,30.3735376,-91.0947407,google
004-4080-9,10849 PERKINS RD,30.3758566,-91.0907651,google
014-9149-0,1756 RIDGELAND DR,30.3732261,-91.09016419999999,google
000-9263-0,10631 MCGUIRE AVE,30.3751657,-91.0935279,google
014-9504-6,PO BOX 83373,30.5190775,-91.5208624,google
014-8871-6,1759 GREAT OAK DR,30.3739685,-91.0916678,google
001-6357-0,1692 O'BRIEN DR,30.3734049,-91.094201,google
014-9048-6,1748 GREAT OAK DR,30.3733698,-91.0913459,google
000-9020-4,1780 O'BRIEN DR,30.374581,-91.0935294,google
014-9112-1,1755 RIDGELAND DR,30.3734143,-91.0907232,google
000-8397-6,1740 O'BRIEN DR,30.3740767,-91.09380499999999,google
001-6356-2,1682 O'BRIEN DR,30.3732696,-91.0942853,google
014-9004-4,1758 GREAT OAK DR,30.3735474,-91.0912441,google
000-8564-2,1760 O'BRIEN DR,30.3743232,-91.09366279999999,google
000-8110-8,1710 O'BRIEN DR,30.3737083,-91.0940232,google
014-8951-8,1812 GREAT OAK DR,30.3739643,-91.09092319999999,google
014-9143-1,1814 RIDGELAND DR,30.3734602,-91.0900746,google
014-9110-5,1745 RIDGELAND DR,30.3732247,-91.0908556,google
000-8388-7,1730 O'BRIEN DR,30.3739385,-91.0939058,google
014-9142-3,1824 RIDGELAND DR,30.3736189,-91.0898802,google
000-4938-7,10915 PERKINS RD,30.3753149,-91.0901027,google
014-9139-3,1844 RIDGELAND DR,30.374108,-91.0900362,google
014-9138-5,1843 RIDGELAND DR,30.3740464,-91.09040879999999,google
000-9114-6,10651 MCGUIRE AVE,30.3750058,-91.09325179999999,google
014-8872-4,1749 GREAT OAK DR,30.3737759,-91.0917784,google
001-2839-2,10859 PERKINS RD,30.37568719999999,-91.0904625,google
000-9765-9,1721 O'BRIEN DR,30.3740552,-91.0944504,google
000-8156-6,1720 O'BRIEN DR,30.37384,-91.093963,google
014-8869-4,10730 N GREAT OAK CT,30.3129231,-90.8765086,google
002-2597-5,10721 LEIGH ELLEN AVE,30.3733386,-91.092967,google
002-2612-2,10711 LEIGH ELLEN AVE,30.3735358,-91.0934254,google
014-9129-6,1833 RIDGELAND DR,30.3737974,-91.09054139999999,google
014-8865-1,10711 N GREAT OAK CT,30.3129231,-90.8765086,google
008-7480-9,1088 ELYSIAN DR,30.3804556,-91.1094232,google
